"Channel 452"	"Channel 523"	"Channel 594"	"Channel 676"	"X (pixel)"	"Y (pixel)"	"X (microns)"	"Y (microns)"	"X__1"
124	0	506	0	506	391	55.2552	42.6972	NA
135	0	453	0	507	391	55.3644	42.6972	NA
129	0	540	0	508	390	55.4736	42.588	NA
129	0	451	0	509	390	55.5828	42.588	NA
123	0	617	0	510	389	55.692	42.4788	NA
126	0	476	0	511	389	55.8012	42.4788	NA
0	0	485	200	512	388	55.9104	42.3696	NA
0	0	392	0	513	388	56.0196	42.3696	NA
127	0	370	0	514	387	56.1288	42.2604	NA
126	155	328	0	515	387	56.238	42.2604	NA
126	0	314	0	516	386	56.3472	42.1512	NA
124	0	347	0	517	386	56.4564	42.1512	NA
126	0	301	0	518	385	56.5656	42.042	NA
130	0	308	0	519	385	56.6748	42.042	NA
126	0	311	0	520	384	56.784	41.9328	NA
130	0	256	0	521	384	56.8932	41.9328	NA
125	0	187	0	522	383	57.0024	41.8236	NA
121	0	168	0	523	383	57.1116	41.8236	NA
129	0	0	0	524	382	57.2208	41.7144	NA
126	0	0	0	525	382	57.33	41.7144	NA
129	0	218	0	526	381	57.4392	41.6052	NA
126	0	267	0	527	380	57.5484	41.496	NA
123	158	269	0	528	380	57.6576	41.496	NA
125	172	676	0	529	379	57.7668	41.3868	NA
127	190	1794	0	530	379	57.876	41.3868	NA
127	0	637	0	531	378	57.9852	41.2776	NA
129	0	848	0	532	378	58.0944	41.2776	NA
123	0	1031	0	533	377	58.2036	41.1684	NA
125	0	889	194	534	377	58.3128	41.1684	NA
126	0	1019	0	535	376	58.422	41.0592	NA
126	0	929	0	536	376	58.5312	41.0592	NA
128	0	1987	0	537	375	58.6404	40.95	NA
124	0	947	0	538	375	58.7496	40.95	NA
127	0	464	0	539	374	58.8588	40.8408	NA
122	0	420	0	540	374	58.968	40.8408	NA
121	0	393	0	541	373	59.0772	40.7316	NA
119	0	464	0	542	373	59.1864	40.7316	NA
118	0	1392	0	543	372	59.2956	40.6224	NA
125	0	741	0	544	372	59.4048	40.6224	NA
131	0	516	0	545	371	59.514	40.5132	NA
121	0	387	0	546	371	59.6232	40.5132	NA
118	0	323	0	547	370	59.7324	40.404	NA
119	0	300	0	548	370	59.8416	40.404	NA
122	0	228	0	549	369	59.9508	40.2948	NA
124	0	249	0	550	369	60.06	40.2948	NA
126	0	211	0	551	368	60.1692	40.1856	NA
125	0	257	0	552	368	60.2784	40.1856	NA
130	0	343	0	553	367	60.3876	40.0764	"join"
125	0	451	0	554	366	60.4968	39.9672	NA
127	0	635	0	555	366	60.606	39.9672	NA
124	0	1091	0	556	365	60.7152	39.858	NA
129	0	1552	0	557	365	60.8244	39.858	NA
125	0	1610	290	558	364	60.9336	39.7488	NA
131	0	869	305	559	363	61.0428	39.6396	NA
126	0	500	0	560	363	61.152	39.6396	NA
125	0	397	0	561	362	61.2612	39.5304	NA
124	0	389	0	562	362	61.3704	39.5304	NA
124	0	353	0	563	361	61.4796	39.4212	NA
126	0	288	0	564	360	61.5888	39.312	NA
129	0	282	0	565	360	61.698	39.312	NA
123	0	425	0	566	359	61.8072	39.2028	NA
124	0	419	0	567	359	61.9164	39.2028	NA
126	0	908	0	568	358	62.0256	39.0936	NA
125	0	2213	0	569	357	62.1348	38.9844	NA
127	0	5774	0	570	357	62.244	38.9844	NA
123	0	2593	0	571	356	62.3532	38.8752	NA
122	0	1719	0	572	356	62.4624	38.8752	NA
126	155	1201	283	573	355	62.5716	38.766	NA
128	0	960	272	574	355	62.6808	38.766	NA
120	0	604	231	575	354	62.79	38.6568	NA
128	0	343	0	576	353	62.8992	38.5476	NA
123	0	312	0	577	353	63.0084	38.5476	NA
124	0	193	0	578	352	63.1176	38.4384	NA
128	0	169	0	579	352	63.2268	38.4384	NA
124	0	266	0	580	351	63.336	38.3292	NA
0	0	446	238	581	350	63.4452	38.22	NA
126	0	551	366	582	350	63.5544	38.22	NA
128	0	1174	283	583	349	63.6636	38.1108	NA
129	0	1965	268	584	349	63.7728	38.1108	NA
124	0	2680	0	585	348	63.882	38.0016	NA
123	0	2341	0	586	347	63.9912	37.8924	NA
122	0	1399	0	587	347	64.1004	37.8924	NA
130	181	1292	0	588	346	64.2096	37.7832	NA
131	255	1296	0	589	346	64.3188	37.7832	NA
125	261	918	0	590	345	64.428	37.674	NA
0	168	539	0	591	344	64.5372	37.5648	NA
0	0	527	0	592	344	64.6464	37.5648	NA
129	0	522	0	593	343	64.7556	37.4556	NA
122	0	756	0	594	343	64.8648	37.4556	NA
120	0	2000	0	595	342	64.974	37.3464	NA
0	0	2935	0	596	341	65.0832	37.2372	NA
